Ticker,Date,Cleaned_Headlines
NFLX,2015-02-23,"['hearing yidio, which reportedly handles 8 nflx signups/day, now redirecting those signups over to amazon prime']"
NFLX,2015-06-24,"[""cnbc now tweets: 'just in: mark cuban to @scottwapnercnbc on his $nflx stake: still hold every share and have no intention of selling.'"", ""carl icahn tweets: 'sold last of our $nflx today. believe $aapl currently represents same opportunity we stated nflx offered several years ago.'""]"
NFLX,2015-07-13,"[""goldman on netflix: 'we believe the opportunity in shares of nflx remains compelling', reiterates buy & raises pt to $780 from $620""]"
NFLX,2015-07-16,"[""netflix: william blair appearing cautious on shares, cites concerns nflx may not realize an adequate return on int'l investments, remains on sidelines""]"
NFLX,2015-08-24,['tim cook still expects strong growth in china']
NFLX,2015-09-03,['citron research @citronresearch tweet: citron stayed away but finally time to short $nflx. comp heating up and doesnt have another trick like $aapl $goog $amzn. back to $80']
NFLX,2015-09-09,"[""apple's siri on tv can be used to search netflix, hulu, itunes, etc.""]"
NFLX,2015-09-11,"[""4 stocks that could feel the heat from apple's iphone 6s unveil""]"
NFLX,2015-09-29,['option alert: $nflx oct 2 $102 call sweep; 1180 contracts @ask @$1.90; now $100.13']
NFLX,2015-10-01,['option alert: $nflx oct $115 call sweep; 1000 contracts @ask @$5.15 now $105.56']
NFLX,2015-10-05,['option alert: $nflx oct $120 call sweep; 1148 contracts above ask @$5.11 now $108.98']
NFLX,2015-10-19,"[""citron research @citronresearch covered $nflx short... asked my kids nflx or hbo? ..response- what's hbo?.. much easier pickings in this frothy market.""]"
NFLX,2016-01-06,"['update: nflx adds 130 new countries, adds 17 new languages including arabic, korean, simplified/tradition chinese']"
NFLX,2016-01-08,"[""update: pivotal sees nflx increasing int'l subs from 14.9m to 15.3m"", 'argus sees service providers challenging government regulation on net neutrality following nflx global service expansion', ""pivotal research cuts nflx pt to $165, raises int'l contribution losses from $(445m) to $(480m) on faster than expected int'l launch""]"
NFLX,2016-01-15,"[""jp morgan lowering nflx near profit expectation, sees more significant profits in 2017 driven by est. 15m int'l net adds in 2016""]"
NFLX,2016-01-19,"['nflx eps preview', 'clsa suggesting nflx off to rough start in india, sees high sub costs and limited local content,']"
NFLX,2016-01-20,"['pacific crest recommends buying nflx, sees co as dominant global distributor of premium video', ""credit suisse maintains neutral on nflx, sees int'l opportunity offseting maturing us market"", 'oppenheimer raises nflx pt to $140 citing margin expansion']"
NFLX,2016-01-21,['nflx earnings']
NFLX,2016-01-22,"['societe generale positive on goog/googl, sellers of fb and nflx']"
NFLX,2016-01-29,['apple could announce netflix competitor at iphone 7 event']
NFLX,2016-02-05,"[""moffettnathanson cuts nflx pt to $85 on weak q1 subscriber guidance, sees new market spending depressing int'l margins""]"
NFLX,2016-03-07,"['pacific crest defending nflx,']"
NFLX,2016-04-05,"[""michael pachter \u200ftweets: on nflx content, @petenajarian is so wrong. amzn has hbo + epix (nflx doesn't), comparable originals; is $20 cheaper and free shipping! ! !""]"
NFLX,2016-04-11,"['goldman sachs previews nflx, expects co to']"
NFLX,2016-04-18,"['earnings: ibm, nflx, gs and jnj join the earnings parade']"
NFLX,2016-05-31,"['2 things i would do if were tim cook, from the analyst with a $1 trillion valuation on apple']"
NFLX,2016-07-18,"['after losers: nflx down 15%, smci ~17%, save 6%, ryi 4.5%, ecr 4%, yhoo 0.5%', 'can nflx grow its subscriber base?']"
NFLX,2016-09-13,['option alert: nflx mar 17 $100 calls above ask: 2618 @ 9.801 vs. open interest 966']
NFLX,2016-09-26,['option alert: nflx oct16 107 calls sweep: 3999 @ ask $1.27: 4140 traded vs 115 oi: earnings 10/17 after close $94.']
NFLX,2016-10-05,['option alert: nflx jan17 114.29 calls sweep: 3093 @ ask $5.95: 3153 traded vs 3249 oi: earnings 10/17 after close $105.44 ref']
NFLX,2016-10-17,"[""wedbush's michael pachter tweets: $nflx numbers and guide great; i wonder if $amzn will promote monthly prime and monthly video subscriptions and split q4 net additions?""]"
NFLX,2016-10-18,"[""wedbush's michael pachter tweets:. . . broken down by country, that means amzn spends est. $2.8 billion u.s. and nflx spends $3.5 billion. therefore, amzn = 80% of nflx"", ""wedbush's michael pachter tweets: best proxy for content quality is $$ spent. amzn spends est. $3.3 billion for 5 countries, nflx spends $7 billion for 190 . . . (continued)""]"
NFLX,2016-10-24,['option alert: nflx nov $115 call; 9000 @bid @$14.75; ref=$128.82']
