Ticker,Date,Cleaned_Headlines
TSM,2015-03-16,"[""tsm shares quiet following word cowen has suggested co. won majority of apple's a9 production""]"
TSM,2015-08-18,"['qualcomm to still supply modem chips for new iphone, in partnership with taiwan semiconductor,']"
TSM,2015-08-24,['option alert: $tsm sep $20 call sweep; 3547 contracts @ask @$0.45; now $18.47']
TSM,2015-09-10,"[""update: semiconductor advisors' maire believes tsm's aug. performance implies 'more than a one month blip in numbers'"", ""semiconductor advisors' robert maire comments on tsm following aug. sales numbers, calls results 'troubling'"", ""update: semiconductor advisors' maire believes tsm aug. sales figures imply 'a rapid 180 degree turn in business momentum'""]"
TSM,2015-12-01,['option alert: $tsm dec15 $23.0 calls sweep: 722 @ ask $0.70: 729 traded vs 806 oi: earnings 1/21 ref $23.30 ref']
TSM,2016-01-22,"['suppliers say apple now placing orders one month in advance instead of three, signaling likely iphone sales decline', ""are apple's suppliers hinting of poor iphone demand?""]"
TSM,2016-02-11,"['option alert: tsm mar16 23.0 puts sweep: 1791 @ ask $1.55: 1828 traded vs 20k oi: $21.85 ref', ""taiwan semiconductor to produce 10 application processors for apple's iphone 7  times"", 'option alert: tsm mar16 20.0 puts sweep: 737 @ ask $0.30: 1420 traded vs 5062 oi: $22.25 ref']"
TSM,2016-02-17,['energous spikes 17% after bgr calls co. an iphone game']
TSM,2016-03-22,"[""bluefin research sees tsm's a10 processor ramp driven by aapl iphone 7,""]"
TSM,2016-04-14,['doug kass tweets: $tsm high end smart phone weakness could impact $aapl today. added to short.']
TSM,2016-05-20,"['chip orders from apple said to be slow dues to weak iphone, ipad sales']"
TSM,2016-05-24,"['chip suppliers cautious regarding unit production for iphone 7; suppliers include intel, qualcomm, nxp, broadcom, taiwan semiconductor']"
TSM,2016-08-10,"['taiwan semiconductor to replace samsung as sole supplier of chips for apple watch 2, plus enhanced version of first apple watch beginning in h2 of 2016']"
TSM,2016-08-15,"[""report: new ipad pro coming in 2017, 'revolutionary' oled ipad to follow in 2018""]"
TSM,2016-08-16,['taiwan semiconductor to make chips for 2017 ipad models']
TSM,2016-10-07,"[""demand for iphone 7 is expected to boost taiwan's exports""]"
TSM,2016-10-11,['option alert: tsm nov16 31.0 puts sweep: 1302 @ ask $1.20: 1303 traded vs 63 oi: $30.79 ref']
TSM,2016-12-09,"['16nm production increases at tsm are for the apple watch, not the iphone']"
TSM,2016-12-13,['hearing taiwan it cos. have been hurt by sluggish iphone related sales']
TSM,2017-09-04,['material supply chain for new iphone expected to see strong growth']
TSM,2017-10-19,['20 apple suppliers to watch following iphone 8 news']
TSM,2017-11-20,['9to5 mac']
TSM,2019-01-03,['premarket prep opening nyse imbalance update: tsm 148k shares to sell']
TSM,2019-02-11,['taiwan semiconductor to remain sole iphone chip supplier']
TSM,2019-04-16,"[""'tsmc's 6 process could be used in 'a14' chip in 2020 iphone'""]"
TSM,2019-08-26,['fastft globalfoundries sues apple supplier taiwan semiconductor seek iphone import ban']
TSM,2019-12-12,"[""'tsm's 2019 revenue will exceed last year'""]"
TSM,2020-01-02,['taiwan semiconductor to start 5nm chip production for iphone in q2 2020']
TSM,2020-04-23,"['apple reportedly shifting away from intel, will make its own mac chips']"
TSM,2020-07-16,['iphone chipmaker tsmc']
TSM,2020-07-27,['apple sets up r&d area for display tech at tsm plant']
TSM,2020-11-16,"['yahoo finance trending stocks for monday, nov. 16, 2020: mrna, wmt, spce, ba, pfe, jd, athe, tsm, bntx, tgt, nvax, hds, ino, ibio, xom, mu, panw, hpr, tsn, ccl, can, gp, bbva, mmedf, wwr, uber, o, rcl, rapt']"
TSM,2020-12-08,"[""benzinga pro's top 5 stocks to watch for tuesday, dec. 8, 2020: vbk, exas, tsm, amc, rgls""]"
TSM,2021-01-08,['strong iphone demand helps taiwan semiconductor clock record quarterly revenue: bloomberg']
TSM,2021-02-01,"[""cathie wood's ark invests posts funds sales for friday, jan. 29, 2021: pacb, sq, pypl, tsm, splk, regn, z, pins, roku, mtls, api, fb""]"
TSM,2021-02-02,"[""cathie wood's ark invests posts fund sales for monday, feb. 1, 2021: pacb, regn, sq, pypl, tsm, splk, z, spce, nndm, flir, avav, irdm, mtls, api, roku, fsly""]"
TSM,2021-02-08,"[""cathie wood's ark invests posts fund sales for monday, feb. 8, 2021: tsm, meli, pins, se, pdd, tcehy, cdna, pstg, mtls, splk, onvo, spce, avav, nndm, api""]"
TSM,2021-02-09,"[""cathie wood's ark invests posts fund sales for tuesday, feb. 9, 2021: cdna, splk, ssys, mtls, onvo, nndm, spce, tsm, pins, api, tcehy, se""]"
TSM,2021-02-17,"[""cathie wood's ark invests posts fund sales for tuesday, feb. 16, 2021: twst, pacb, cdna, vcyt, onvo, ssys, mtls, splk, byddy, tsm, avav, pstg, pd, z, api, se""]"
TSM,2021-02-23,"[""cathie wood's ark invest posts fund sales for monday, feb. 22, 2021: twst, sdgr, cdna, roku, bidu, tsm, mtls, tcehy, ssys, sq, hon, avav, anss, crm, hubs, se""]"
TSM,2021-02-24,"[""cathie wood's ark invest posts fund sales for tuesday, feb. 23, 2021: splk, tmo, hims, googl, z, tcehy, roku, tsm, se, amzn, aapl, crm"", 'tsm raises $326.8m from visera share sale before spinoff: bloomberg']"
TSM,2021-02-25,['tsm to raise $575m via debt to counter chip crisis: bloomberg']
TSM,2021-02-26,"[""cathie wood's ark invest posts fund sales for thursday, feb. 25, 2021: lspd, schw, gwre, tcehy, amzn, twst, cdna, pins, tsm, snap, se, roku, regn, nvs, goog, xlnx, adsk, snps, rok, flir, crm, aapl, baba""]"
TSM,2021-02-27,"[""cathie wood's ark invest posts fund sales for friday, feb. 26, 2021: twst, tmo, rhhby, googl, cdna, tsm, snps, snap, ice, nvs, pins, regn, roku, flir, amzn, aapl, fb, crm, baba, tcehy""]"
TSM,2021-03-04,"[""cathie wood's ark invest posts fund sales for wednesday, mar. 3, 2021: googl, bmy, rhhby, psti, tsm, tcehy, ntdoy, ice, bidu, beke, de, flir, nvda, api""]"
TSM,2021-03-05,"[""cathie wood's ark invest posts fund sales for thursday, mar. 4, 2021: fb, vrtx, rhhby, regn, psti, googl, pypl, tsm, tree, ice, tcehy, ntdoy, nvs, pcar, rok, flir, amzn, aapl, api, nflx""]"
TSM,2021-03-09,"[""cathie wood's ark invest posts fund sales for monday, mar. 8, 2021: lspd, fb, tsm, googl, regn, rhhby, ice, pypl, de, cat, amzn, nflx, bidu, api""]"
TSM,2021-03-10,"[""cathie wood's ark invest posts fund sales for tuesday, mar. 9, 2021: psti, rhhby, ice, pypl, amzn, rok, tsm, api, bidu""]"
TSM,2021-03-12,"[""cathie wood's ark invest posts fund sales for thursday, mar. 11, 2021: fb, tsm, psti, regn, de, kmtuy, ntdoy"", ""cathie wood's ark invest posts fund sales for friday, mar. 12, 2021: psti, tsm, de, cat, kmtuy, ntdoy""]"
TSM,2021-03-16,"[""cathie wood's ark invest posts fund sales for monday, mar. 15, 2021: tsm, psti, hims, googl, snap, pins, splk, rok, kmtuy, flir, de, cat, amzn, aapl, roku, ntdoy, okta""]"
TSM,2021-03-17,"[""cathie wood's ark invest posts fund sales for tuesday, mar. 16, 2021: splk, tsm, vrsk, hims, psti, rok, kmtuy, flir, aapl, nflx, okta""]"
TSM,2021-03-18,"[""cathie wood's ark invest posts fund sales for thursday, mar. 18, 2021: psti, kmtuy, okta, tcehy, tsm""]"
TSM,2021-03-24,"[""cathie wood's ark invest posts fund sales for tuesday, mar. 23, 2021: kmtuy, byddy, avav, tsm""]"
TSM,2021-04-01,['tsm commits $100b in chip building capacity: bloomberg']
