Ticker,Date,headline
UNH,2015-01-06,Top 4 NYSE Stocks In The Health Care Plans Industry With The Highest Revenue
UNH,2015-01-07,"Goldman Sachs Downgrades UnitedHealth Group to Neutral, Lowers PT to $109.00"
UNH,2015-01-15,Oppenheimer Sees Upside Surprise This Earnings Season
UNH,2015-01-20,The 5 Best Dow Stocks So Far In 2015
UNH,2015-01-21,"Keep an Eye on These 10 Stocks for January 21, 2015 | Earnings Scheduled For January 21, 2015 | UnitedHealth GroUp Reports Q4 EPS of $1.55 vs $1.50 Est; Revenue of $33.43B vs $33.11B Est | UnitedHealth Group Sees FY2015 EPS $6.00-6.25 vs $6.17 Est; Sees Sales $140.50B-141.50B vs $140.90B Est | UPDATE: UnitedHealth Group Q4 Profit Beats Expectations; Shares Rise | US Stock Futures Slip Ahead Of Housing-Starts Data | Benzinga's Top #PreMarket Gainers | Morning Market Gainers | Stocks Hitting 52-Week Highs | Mid-Morning Market Update: Markets Mixed; UnitedHealth Profit Tops Expectations | Wednesday Premarket Mover Social Media Stocks | Mid-Day Market Update: US Stocks Surge; Netflix Shares Jump On Upbeat Earnings | Analyst Sees Little Upside For UnitedHealth Group Inc. | Mid-Afternoon Market Update: Alnylam Pharmaceuticals Drops Following Equity Offering; Insperity Shares Spike Higher | ETFs Moving After the SOTU"
UNH,2015-01-22,Why Leerink Sees Further Upside In Shares of Unitedhealth Group
UNH,2015-01-26,Watch Healthcare Benefits Plays Following Headline of Medicare Payments Overhaul
UNH,2015-02-05,Obamacare Could Be Setting Up A Bumper Year For Insurers
UNH,2015-02-10,Fast Money Halftime Report Final Trade From February 10
UNH,2015-02-24,CNBC's Stock Pops & Drops From February 23
UNH,2015-03-05,Top 4 NYSE Stocks In The Health Care Plans Industry With The Highest Revenue
UNH,2015-03-06,Sterne Agee Upgrades UnitedHealth Group to Neutral
UNH,2015-03-08,Will Apple And AT&T Break This Dow Transition Pattern?
UNH,2015-03-12,8 Managed Care Stocks Wells Fargo Is Watching
