Ticker,Date,Cleaned_Headlines
XOM,2015-07-22,"[""goldman on exxon: 'we believe xom is uniquely positioned to outperform peers & the energy sector' to benefit from the 'new oil order'""]"
XOM,2015-10-06,['option alert: $xom jan $80 call sweep; 5000 contracts above ask @$2.38']
XOM,2016-04-27,['check on energy: xom and cvx earnings preview']
XOM,2016-05-17,"['oxy shares spiking, traders passing around comments about co meeting with xom']"
XOM,2016-06-30,['goldman adds hes/xom to conviction buy list']
XOM,2016-10-03,"['pre prep host dennis dick tweets: notable opening imbalances: $twtr +351k, $baba +59k, $pfe , $ge , $pg , $vz , $cat , $xom , $cvx']"
XOM,2016-12-30,"['pre prep host dennis dick tweets: some huge sell imbalances this morning: $pg , $vz , $xom , $wmt , $cvx , $ge , $cat , $pfe']"
XOM,2017-03-14,"['premarket prep host dennis dick tweets: notable opening imbalances: $cat , $ge , $baba , $cl , $pfe , $xom , $cvx']"
XOM,2017-04-26,"['what might be expected when f, gm, cvx, and xom report earnings this week']"
XOM,2017-11-01,"[""fuels & oil analyst patrick dehaan tweets: :warning: overnight fire hits $xom refinery in baton rouge, nation's fourth largest, capacity of 503k bpd, may have some impact on markets.""]"
XOM,2018-01-31,['upcoming earnings: iphone sales in focus when apple']
XOM,2020-03-09,"[""benzinga pro's top 5 stocks to watch for mon., mar. 9, 2020: xom, gld, ba, tsla, spex""]"
XOM,2020-06-19,"['from benzinga premarket prep: co dennis dick notes a lot of premarket buy imbalances such as pg 673k, ko 902k, kr 204k, xom 462k, and cvx 679k to buy']"
XOM,2020-07-30,['correction: prior headline on weakness in bp shares incorrectly tagged ticker xom']
XOM,2020-10-29,"['notable earnings watchlist for friday, oct. 30, 2020 before market open: xom, cl, cvx, bsac, lea, hon, gt, flir, mo, chtr, abbv, ua, lhx']"
XOM,2020-11-10,"['stocks trading ex today, tuesday, nov. 10, 2020: fang, vnom, peak, ntb, nidb, gwb, xom, cog, opy, bort, shen, simo, sbux, kbh, zion, lpla, rmd, aroc, msa, hnna, tbnk, ivz, matx, wtfc, gilt, pool, etr, ecc']"
