,Model,Accuracy,Confusion Matrix
0,Logistic Regression,0.8838451268357811,"[[251  49]
 [ 38 411]]"
1,Random Forest,0.45260347129506007,"[[206  94]
 [316 133]]"
2,XGBoost,0.4325767690253672,"[[178 122]
 [303 146]]"
3,SVM,0.8838451268357811,"[[257  43]
 [ 44 405]]"
4,Naive Bayes,0.40053404539385845,"[[300   0]
 [449   0]]"
5,Gradient Boosting,0.46194926568758343,"[[209  91]
 [312 137]]"
6,K-Nearest Neighbors,0.4432576769025367,"[[197 103]
 [314 135]]"
7,Decision Tree,0.43524699599465955,"[[178 122]
 [301 148]]"
8,AdaBoost,0.44058744993324434,"[[184 116]
 [303 146]]"
9,SGD Classifier,0.8825100133511349,"[[240  60]
 [ 28 421]]"
10,MLP,0.8638184245660881,"[[219  81]
 [ 21 428]]"
11,LGBMClassifier,0.46194926568758343,"[[203  97]
 [306 143]]"
