,Model,Accuracy,Confusion Matrix
0,Logistic Regression,0.855807743658211,"[[197  53]
 [ 55 444]]"
1,Random Forest,0.514018691588785,"[[106 144]
 [220 279]]"
2,XGBoost,0.5353805073431241,"[[ 71 179]
 [169 330]]"
3,SVM,0.8758344459279038,"[[210  40]
 [ 53 446]]"
4,Naive Bayes,0.36315086782376504,"[[186  64]
 [413  86]]"
5,Gradient Boosting,0.5367156208277704,"[[106 144]
 [203 296]]"
6,K-Nearest Neighbors,0.6208277703604806,"[[118 132]
 [152 347]]"
7,Decision Tree,0.5767690253671562,"[[112 138]
 [179 320]]"
8,AdaBoost,0.6061415220293725,"[[121 129]
 [166 333]]"
9,SGD Classifier,0.8651535380507344,"[[193  57]
 [ 44 455]]"
10,MLP,0.8491321762349799,"[[196  54]
 [ 59 440]]"
11,LGBMClassifier,0.5861148197596796,"[[123 127]
 [183 316]]"
