,Model,Accuracy,Confusion Matrix,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,_strategy,_equity_curve,_trades
0,Logistic Regression,0.7610294117647058,"[[102  20]
 [ 45 105]]",2024-01-29,2025-02-27,395 days,49.26470588235294,10485.271896362307,16544.279891967773,4.852718963623065,56.881481423614375,4.488016194121736,65.93884947918691,3.0692997623340545,0.06806330758831852,0.1236112543770323,0.09674222031254073,-23.4873265780631,0.498229737207948,-46.39149462998166,-12.712688102541811,339 days,62 days,9,33.33333333333333,49.80745936857958,-18.178679265023966,0.4627177433303542,53 days,21 days,1.3488083920597969,1.9243845026759563,0.07757748566219698,0.023993617615640672,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2024-01-29  10000.000000      0.00000              NaT
2024-01-30  10000.000000      0.00000              NaT
2024-01-31  10000.000000      0.00000              NaT
2024-02-01  10000.000000      0.00000              NaT
2024-02-02  10000.000000      0.00000              NaT
...                  ...          ...              ...
2025-02-21  10485.271896      0.36623              NaT
2025-02-24  10485.271896      0.36623              NaT
2025-02-25  10485.271896      0.36623              NaT
2025-02-26  10485.271896      0.36623              NaT
2025-02-27  10485.271896      0.36623         339 days

[272 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice   ExitPrice    SL    TP          PnL  ReturnPct  EntryTime   ExitTime Duration   Tag  Entry_get_signal  Exit_get_signal
0    59        13       48  168.789993  252.860001  None  None  4960.130432   0.498075 2024-02-15 2024-04-08  53 days  None                 1                1
1    59        49       50  253.229996  238.240005  None  None  -884.409424  -0.059195 2024-04-09 2024-04-10   1 days  None                 0                0
2    58        84      102  239.020004  217.000000  None  None -1277.160248  -0.092126 2024-05-29 2024-06-25  27 days  None                 1                0
3    52       117      119  245.899994  235.100006  None  None  -561.599365  -0.043920 2024-07-17 2024-07-19   2 days  None                 1                1
4    46       120      129  260.470001  213.119995  None  None -2178.100281  -0.181787 2024-07-22 2024-08-02  11 days  None                 1                0
5    49       181      196  203.529999  221.479996  None  None   879.549850   0.088193 2024-10-16 2024-11-06  21 days  None                 1                1
6    44       197      227  245.630005  266.130005  None  None   902.000000   0.083459 2024-11-07 2024-12-20  43 days  None                 1                0
7    40       247      261  289.739990  264.390015  None  None -1013.999023  -0.087492 2025-01-23 2025-02-12  20 days  None                 1                0
8    37       263      264  288.019989  278.799988  None  None  -341.140045  -0.032012 2025-02-14 2025-02-18   4 days  None                 0                0"
1,Random Forest,0.8161764705882353,"[[105  17]
 [ 33 117]]",2024-01-29,2025-02-27,395 days,52.20588235294118,10562.93176269531,20175.039428710938,5.629317626953108,56.881481423614375,5.204814714498651,70.22212362493032,3.555672275245292,0.07411930095276745,0.13589744675057006,0.10874627999323228,-23.961559234466424,0.5202198698210216,-47.86200240433575,-15.186339716434743,339 days,74 days,8,25.0,60.44511472318237,-13.330622038606544,0.6935069938078797,64 days,25 days,1.434948885052538,2.7358312442409356,0.07672446307559677,0.01906787947303104,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2024-01-29  10000.000000     0.000000              NaT
2024-01-30  10000.000000     0.000000              NaT
2024-01-31  10000.000000     0.000000              NaT
2024-02-01  10000.000000     0.000000              NaT
2024-02-02  10000.000000     0.000000              NaT
...                  ...          ...              ...
2025-02-21  10562.931763     0.476436              NaT
2025-02-24  10562.931763     0.476436              NaT
2025-02-25  10562.931763     0.476436              NaT
2025-02-26  10562.931763     0.476436              NaT
2025-02-27  10562.931763     0.476436         339 days

[272 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice   ExitPrice    SL    TP          PnL  ReturnPct  EntryTime   ExitTime Duration   Tag  Entry_get_signal  Exit_get_signal
0    72        11       55  138.389999  222.039993  None  None  6022.799561   0.604451 2024-02-13 2024-04-17  64 days  None                 1                0
1    68        83      102  235.449997  217.000000  None  None -1254.599792  -0.078361 2024-05-28 2024-06-25  28 days  None                 1                0
2    60       117      129  245.899994  213.119995  None  None -1966.799927  -0.133306 2024-07-17 2024-08-02  16 days  None                 1                0
3    65       180      193  195.679993  180.000000  None  None -1019.199524  -0.080131 2024-10-15 2024-11-01  17 days  None                 1                0
4    47       197      228  245.630005  274.519989  None  None  1357.829254   0.117616 2024-11-07 2024-12-23  46 days  None                 1                0
5    45       246      250  290.459991  280.500000  None  None  -448.199615  -0.034290 2025-01-22 2025-01-28   6 days  None                 1                0
6    43       252      261  293.709991  264.390015  None  None -1260.759003  -0.099826 2025-01-30 2025-02-12  13 days  None                 1                0
7    39       263      265  288.019989  265.760010  None  None  -868.139191  -0.077286 2025-02-14 2025-02-19   5 days  None                 1                0"
2,XGBoost,0.7757352941176471,"[[107  15]
 [ 46 104]]",2024-01-29,2025-02-27,395 days,47.05882352941176,11716.240402221683,16544.279891967773,17.162404022216833,56.881481423614375,15.805800492991962,70.65197966439615,10.633124398140946,0.22371348358632084,0.4559993531319407,0.3799328375263437,-8.049061996528405,0.4432280135425356,-41.601564623631724,-11.914366434816824,339 days,62 days,9,22.22222222222222,44.58202677479595,-13.330622038606544,1.7926681446655657,48 days,20 days,1.6535832201822933,3.232166033228609,0.2823420346864993,0.05231248383704212,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2024-01-29  10000.000000     0.000000              NaT
2024-01-30  10000.000000     0.000000              NaT
2024-01-31  10000.000000     0.000000              NaT
2024-02-01  10000.000000     0.000000              NaT
2024-02-02  10000.000000     0.000000              NaT
...                  ...          ...              ...
2025-02-21  11716.240402     0.291825              NaT
2025-02-24  11716.240402     0.291825              NaT
2025-02-25  11716.240402     0.291825              NaT
2025-02-26  11716.240402     0.291825              NaT
2025-02-27  11716.240402     0.291825         339 days

[272 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice   ExitPrice    SL    TP          PnL  ReturnPct  EntryTime   ExitTime Duration   Tag  Entry_get_signal  Exit_get_signal
0    59        13       45  168.789993  244.039993  None  None  4439.750000   0.445820 2024-02-15 2024-04-03  48 days  None                 1                0
1    57        49       50  253.229996  238.240005  None  None  -854.429443  -0.059195 2024-04-09 2024-04-10   1 days  None                 0                0
2    52        52       53  259.420013  247.940002  None  None  -596.960571  -0.044253 2024-04-12 2024-04-15   3 days  None                 0                0
3    55        83      103  235.449997  220.000000  None  None  -849.749832  -0.065619 2024-05-28 2024-06-26  29 days  None                 1                0
4    49       117      129  245.899994  213.119995  None  None -1606.219940  -0.133306 2024-07-17 2024-08-02  16 days  None                 1                0
5    53       180      195  195.679993  185.589996  None  None  -534.769806  -0.051564 2024-10-15 2024-11-05  21 days  None                 1                0
6    40       197      223  245.630005  316.899994  None  None  2850.799561   0.290152 2024-11-07 2024-12-16  39 days  None                 1                1
7    40       224      225  319.829987  308.000000  None  None  -473.199463  -0.036988 2024-12-17 2024-12-18   1 days  None                 0                0
8    42       247      258  289.739990  274.049988  None  None  -658.980103  -0.054152 2025-01-23 2025-02-07  15 days  None                 1                0"
3,SVM,0.7720588235294118,"[[100  22]
 [ 40 110]]",2024-01-29,2025-02-27,395 days,50.73529411764706,9990.282958984375,16544.279891967773,-0.09717041015625,56.881481423614375,-0.0900287442842429,76.53612665025426,-0.06200317034736891,-0.0011762908344662595,-0.002149672699407098,-0.0017442832815993865,-34.017167469437474,0.5963275957366209,-51.61360269513837,-13.583039446734599,339 days,62 days,6,33.33333333333333,48.69957667910194,-34.11549470186783,-0.09884379010807187,65 days,33 days,1.3598758391399801,3.5045543212643437,-0.0011911852284583258,-0.00042595056030991785,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2024-01-29  10000.000000     0.000000              NaT
2024-01-30  10000.000000     0.000000              NaT
2024-01-31  10000.000000     0.000000              NaT
2024-02-01  10000.000000     0.000000              NaT
2024-02-02  10000.000000     0.000000              NaT
...                  ...          ...              ...
2025-02-21   9990.282959     0.396149              NaT
2025-02-24   9990.282959     0.396149              NaT
2025-02-25   9990.282959     0.396149              NaT
2025-02-26   9990.282959     0.396149              NaT
2025-02-27   9990.282959     0.396149         339 days

[272 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice   ExitPrice    SL    TP          PnL  ReturnPct  EntryTime   ExitTime Duration   Tag  Entry_get_signal  Exit_get_signal
0    59        13       51  168.789993  250.990005  None  None  4849.800720   0.486996 2024-02-15 2024-04-11  56 days  None                 1                0
1    63        83      102  235.449997  217.000000  None  None -1162.349808  -0.078361 2024-05-28 2024-06-25  28 days  None                 1                0
2    55       117      130  245.899994  162.009995  None  None -4613.949966  -0.341155 2024-07-17 2024-08-05  19 days  None                 1                0
3    44       181      227  203.529999  266.130005  None  None  2754.400269   0.307571 2024-10-16 2024-12-20  65 days  None                 1                0
4    40       247      261  289.739990  264.390015  None  None -1013.999023  -0.087492 2025-01-23 2025-02-12  20 days  None                 1                0
5    37       263      265  288.019989  265.760010  None  None  -823.619232  -0.077286 2025-02-14 2025-02-19   5 days  None                 1                0"
4,Naive Bayes,0.7536764705882353,"[[114   8]
 [ 59  91]]",2024-01-29,2025-02-27,395 days,39.705882352941174,15272.551971435554,18312.199325561523,52.72551971435554,56.881481423614375,48.04328014876147,87.56337356084126,31.017995973986736,0.5486686749840648,1.4545071974062418,1.5584013694615997,28.432804705839406,0.42707599029639554,-30.828566433665017,-11.741164960056786,339 days,74 days,9,22.22222222222222,60.73239171641627,-11.560948715384335,4.884224393079228,49 days,17 days,3.0853619331885676,6.766226211414709,0.6975599466300497,0.12113775169771229,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2024-01-29  10000.000000      0.00000              NaT
2024-01-30  10000.000000      0.00000              NaT
2024-01-31  10000.000000      0.00000              NaT
2024-02-01  10000.000000      0.00000              NaT
2024-02-02  10000.000000      0.00000              NaT
...                  ...          ...              ...
2025-02-21  15272.551971      0.16599              NaT
2025-02-24  15272.551971      0.16599              NaT
2025-02-25  15272.551971      0.16599              NaT
2025-02-26  15272.551971      0.16599              NaT
2025-02-27  15272.551971      0.16599         339 days

[272 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice   ExitPrice    SL    TP          PnL  ReturnPct  EntryTime   ExitTime Duration   Tag  Entry_get_signal  Exit_get_signal
0    65        12       45  151.830002  244.039993  None  None  5993.649445   0.607324 2024-02-14 2024-04-03  49 days  None                 1                1
1    61        46       48  260.149994  252.860001  None  None  -444.689590  -0.028022 2024-04-04 2024-04-08   4 days  None                 1                1
2    61        49       50  253.229996  238.240005  None  None  -914.389404  -0.059195 2024-04-09 2024-04-10   1 days  None                 0                0
3    61        86       99  239.279999  237.360001  None  None  -117.119888  -0.008024 2024-05-31 2024-06-20  20 days  None                 1                0
4    59       117      124  245.899994  243.339996  None  None  -151.039856  -0.010411 2024-07-17 2024-07-26   9 days  None                 1                0
5    70       181      193  203.529999  180.000000  None  None -1647.099915  -0.115609 2024-10-16 2024-11-01  16 days  None                 1                0
6    51       197      221  245.630005  317.760010  None  None  3678.630249   0.293653 2024-11-07 2024-12-12  35 days  None                 1                0
7    56       246      250  290.459991  280.500000  None  None  -557.759521  -0.034290 2025-01-22 2025-01-28   6 days  None                 1                0
8    53       252      255  293.709991  283.000000  None  None  -567.629547  -0.036465 2025-01-30 2025-02-04   5 days  None                 1                0"
5,Gradient Boosting,0.7867647058823529,"[[104  18]
 [ 40 110]]",2024-01-29,2025-02-27,395 days,50.36764705882353,12285.830764770508,16544.279891967773,22.85830764770508,56.881481423614375,21.012620695517214,79.45689966517445,14.034910462444184,0.2644530655495351,0.5603498219901293,0.4810297124592761,-7.412695027558705,0.5321767632918358,-43.68258373914094,-12.261202954068358,339 days,62 days,9,33.33333333333333,49.80745936857958,-13.330622038606544,2.3236608023671668,53 days,21 days,1.8005643286640873,3.8015435270066678,0.35603332017972633,0.09588971596781554,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2024-01-29  10000.000000     0.000000              NaT
2024-01-30  10000.000000     0.000000              NaT
2024-01-31  10000.000000     0.000000              NaT
2024-02-01  10000.000000     0.000000              NaT
2024-02-02  10000.000000     0.000000              NaT
...                  ...          ...              ...
2025-02-21  12285.830765     0.257397              NaT
2025-02-24  12285.830765     0.257397              NaT
2025-02-25  12285.830765     0.257397              NaT
2025-02-26  12285.830765     0.257397              NaT
2025-02-27  12285.830765     0.257397         339 days

[272 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice   ExitPrice    SL    TP          PnL  ReturnPct  EntryTime   ExitTime Duration   Tag  Entry_get_signal  Exit_get_signal
0    59        13       48  168.789993  252.860001  None  None  4960.130432   0.498075 2024-02-15 2024-04-08  53 days  None                 1                1
1    59        49       54  253.229996  223.000000  None  None -1783.569748  -0.119378 2024-04-09 2024-04-16   7 days  None                 1                0
2    55        83      102  235.449997  217.000000  None  None -1014.749832  -0.078361 2024-05-28 2024-06-25  28 days  None                 1                0
3    49       117      129  245.899994  213.119995  None  None -1606.219940  -0.133306 2024-07-17 2024-08-02  16 days  None                 1                0
4    51       181      196  203.529999  221.479996  None  None   915.449844   0.088193 2024-10-16 2024-11-06  21 days  None                 1                1
5    46       197      226  245.630005  290.640015  None  None  2070.460449   0.183243 2024-11-07 2024-12-19  42 days  None                 1                0
6    46       247      258  289.739990  274.049988  None  None  -721.740112  -0.054152 2025-01-23 2025-02-07  15 days  None                 1                1
7    45       259      260  280.399994  277.549988  None  None  -128.250275  -0.010164 2025-02-10 2025-02-11   1 days  None                 0                0
8    44       263      264  288.019989  278.799988  None  None  -405.680054  -0.032012 2025-02-14 2025-02-18   4 days  None                 0                0"
6,K-Nearest Neighbors,0.7977941176470589,"[[105  17]
 [ 38 112]]",2024-01-29,2025-02-27,395 days,52.20588235294118,8253.781127929684,18512.559692382812,-17.46218872070316,56.881481423614375,-16.28921629125336,54.757944013593374,-11.523753284607995,-0.29747676952972607,-0.4179865262131332,-0.2929480207559223,-46.234513246446504,0.5058293807692305,-55.60445927991153,-23.63174851913505,356 days,123 days,13,30.76923076923077,72.4185285517095,-20.0949572566514,-1.4726596271693149,43 days,15 days,1.0571312345311168,0.3776420230173806,-0.19623341218624568,-0.05973849263982517,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2024-01-29  10000.000000     0.000000              NaT
2024-01-30  10000.000000     0.000000              NaT
2024-01-31  10000.000000     0.000000              NaT
2024-02-01  10000.000000     0.000000              NaT
2024-02-02  10000.000000     0.000000              NaT
...                  ...          ...              ...
2025-02-21   8253.781128     0.554152              NaT
2025-02-24   8253.781128     0.554152              NaT
2025-02-25   8253.781128     0.554152              NaT
2025-02-26   8253.781128     0.554152              NaT
2025-02-27   8253.781128     0.554152         356 days

[272 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice   ExitPrice    SL    TP          PnL  ReturnPct  EntryTime   ExitTime Duration   Tag  Entry_get_signal  Exit_get_signal
0     72        11       34  138.389999  238.610001  None  None  7215.840088   0.724185 2024-02-13 2024-03-18  34 days  None                 1                0
1     67        38       39  254.240005  261.000000  None  None   452.919632   0.026589 2024-03-22 2024-03-25   3 days  None                 0                1
2     63        40       57  280.119995  223.830002  None  None -3546.269577  -0.200950 2024-03-26 2024-04-19  24 days  None                 1                0
3     60        81       82  233.809998  221.000000  None  None  -768.599854  -0.054788 2024-05-23 2024-05-24   1 days  None                 0                1
4     56        83      101  235.449997  217.220001  None  None -1020.879761  -0.077426 2024-05-28 2024-06-24  27 days  None                 1                0
5     50       117      129  245.899994  213.119995  None  None -1638.999939  -0.133306 2024-07-17 2024-08-02  16 days  None                 1                0
6     58       169      171  184.190002  163.029999  None  None -1227.280212  -0.114881 2024-09-30 2024-10-02   2 days  None                 1                0
7     48       180      194  195.679993  180.089996  None  None  -748.319824  -0.079671 2024-10-15 2024-11-04  20 days  None                 1                0
8     35       197      227  245.630005  266.130005  None  None   717.500000   0.083459 2024-11-07 2024-12-20  43 days  None                 1                0
9     32       247      250  289.739990  280.500000  None  None  -295.679688  -0.031891 2025-01-23 2025-01-28   5 days  None                 1                0
10    30       253      258  300.859985  274.049988  None  None  -804.299927  -0.089111 2025-01-31 2025-02-07   7 days  None                 1                0
11    31       261      262  264.390015  284.000000  None  None   607.909546   0.074171 2025-02-12 2025-02-13   1 days  None                 0                1
12    31       263      265  288.019989  265.760010  None  None  -690.059357  -0.077286 2025-02-14 2025-02-19   5 days  None                 1                0"
7,Decision Tree,0.75,"[[107  15]
 [ 53  97]]",2024-01-29,2025-02-27,395 days,44.48529411764706,12511.121200561523,18066.56005859375,25.111212005615236,56.881481423614375,23.06713678615029,74.90974729336214,15.364591441419794,0.3079323802256946,0.6672046631608802,0.6089479163918219,-0.1408486955354995,0.4439416848708749,-37.88031154261796,-11.251227031373979,339 days,62 days,9,33.33333333333333,44.58202677479595,-13.330622038606544,2.5559756684353285,48 days,18 days,1.8322632733286766,3.89903703964856,0.38479668824336644,0.099240310156783,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2024-01-29  10000.000000     0.000000              NaT
2024-01-30  10000.000000     0.000000              NaT
2024-01-31  10000.000000     0.000000              NaT
2024-02-01  10000.000000     0.000000              NaT
2024-02-02  10000.000000     0.000000              NaT
...                  ...          ...              ...
2025-02-21  12511.121201     0.307498              NaT
2025-02-24  12511.121201     0.307498              NaT
2025-02-25  12511.121201     0.307498              NaT
2025-02-26  12511.121201     0.307498              NaT
2025-02-27  12511.121201     0.307498         339 days

[272 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice   ExitPrice    SL    TP          PnL  ReturnPct  EntryTime   ExitTime Duration   Tag  Entry_get_signal  Exit_get_signal
0    72        11       12  138.389999  151.830002  None  None   967.680176   0.097117 2024-02-13 2024-02-14   1 days  None                 0                1
1    64        13       45  168.789993  244.039993  None  None  4816.000000   0.445820 2024-02-15 2024-04-03  48 days  None                 1                0
2    67        83      102  235.449997  217.000000  None  None -1236.149796  -0.078361 2024-05-28 2024-06-25  28 days  None                 1                0
3    59       117      129  245.899994  213.119995  None  None -1934.019928  -0.133306 2024-07-17 2024-08-02  16 days  None                 1                0
4    68       169      170  184.190002  178.720001  None  None  -371.960083  -0.029698 2024-09-30 2024-10-01   1 days  None                 0                0
5    62       180      195  195.679993  185.589996  None  None  -625.579773  -0.051564 2024-10-15 2024-11-05  21 days  None                 1                0
6    47       197      213  245.630005  302.029999  None  None  2650.799713   0.229614 2024-11-07 2024-12-02  25 days  None                 1                0
7    41       216      221  343.359985  317.760010  None  None -1049.598999  -0.074557 2024-12-05 2024-12-12   7 days  None                 1                0
8    45       247      258  289.739990  274.049988  None  None  -706.050110  -0.054152 2025-01-23 2025-02-07  15 days  None                 1                0"
8,AdaBoost,0.8051470588235294,"[[103  19]
 [ 34 116]]",2024-01-29,2025-02-27,395 days,52.94117647058824,10771.202346801756,16544.279891967773,7.712023468017561,56.881481423614375,7.12524250544353,69.5979883967007,4.85369343634956,0.10237713286812902,0.1888931824588792,0.19833111084870042,-20.629849618575648,0.4982618662042628,-35.925995044111446,-10.968438171563443,339 days,62 days,9,22.22222222222222,32.11683682098996,-7.967087551828267,0.7986295098012297,61 days,23 days,1.4555463894982985,1.407081170361931,0.1975538843520827,0.04158768683843564,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2024-01-29  10000.000000     0.000000              NaT
2024-01-30  10000.000000     0.000000              NaT
2024-01-31  10000.000000     0.000000              NaT
2024-02-01  10000.000000     0.000000              NaT
2024-02-02  10000.000000     0.000000              NaT
...                  ...          ...              ...
2025-02-21  10771.202347     0.348947              NaT
2025-02-24  10771.202347     0.348947              NaT
2025-02-25  10771.202347     0.348947              NaT
2025-02-26  10771.202347     0.348947              NaT
2025-02-27  10771.202347     0.348947         339 days

[272 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice   ExitPrice    SL    TP          PnL  ReturnPct  EntryTime   ExitTime Duration   Tag  Entry_get_signal  Exit_get_signal
0    59        13       54  168.789993  223.000000  None  None  3198.390396   0.321168 2024-02-15 2024-04-16  61 days  None                 1                0
1    59        82      102  221.000000  217.000000  None  None  -236.000000  -0.018100 2024-05-24 2024-06-25  32 days  None                 1                0
2    53       116      128  243.190002  226.600006  None  None  -879.269806  -0.068218 2024-07-16 2024-08-01  16 days  None                 1                0
3    61       180      194  195.679993  180.089996  None  None  -950.989777  -0.079671 2024-10-15 2024-11-04  20 days  None                 1                0
4    45       197      227  245.630005  266.130005  None  None   922.500000   0.083459 2024-11-07 2024-12-20  43 days  None                 1                1
5    43       228      229  274.519989  273.220001  None  None   -55.899475  -0.004735 2024-12-23 2024-12-24   1 days  None                 0                1
6    43       230      231  275.579987  274.200012  None  None   -59.338898  -0.005008 2024-12-26 2024-12-27   1 days  None                 0                0
7    39       245      260  298.519989  277.549988  None  None  -817.830048  -0.070247 2025-01-21 2025-02-11  21 days  None                 1                0
8    38       263      264  288.019989  278.799988  None  None  -350.360046  -0.032012 2025-02-14 2025-02-18   4 days  None                 0                0"
9,SGD Classifier,0.7867647058823529,"[[102  20]
 [ 38 112]]",2024-01-29,2025-02-27,395 days,50.73529411764706,13530.492355346678,19708.180587768555,35.30492355346678,56.881481423614375,32.3299622055522,96.55068219286007,21.27596878139848,0.33484965068370076,0.8682437832620578,0.8619817082036999,2.4923598230243513,0.5768584591895013,-37.50655251481522,-12.666041114845466,231 days,37 days,6,33.33333333333333,46.89259571276736,-13.330622038606544,5.196137732244033,65 days,33 days,2.3447048435997315,7.422112256490672,0.5163749240326333,0.1428530608885904,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2024-01-29  10000.000000     0.000000              NaT
2024-01-30  10000.000000     0.000000              NaT
2024-01-31  10000.000000     0.000000              NaT
2024-02-01  10000.000000     0.000000              NaT
2024-02-02  10000.000000     0.000000              NaT
...                  ...          ...              ...
2025-02-21  13530.492355     0.313458              NaT
2025-02-24  13530.492355     0.313458              NaT
2025-02-25  13530.492355     0.313458              NaT
2025-02-26  13530.492355     0.313458              NaT
2025-02-27  13530.492355     0.313458          83 days

[272 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice   ExitPrice    SL    TP          PnL  ReturnPct  EntryTime   ExitTime Duration   Tag  Entry_get_signal  Exit_get_signal
0    59        13       53  168.789993  247.940002  None  None  4669.850540   0.468926 2024-02-15 2024-04-15  60 days  None                 1                0
1    62        83      102  235.449997  217.000000  None  None -1143.899811  -0.078361 2024-05-28 2024-06-25  28 days  None                 1                0
2    55       117      129  245.899994  213.119995  None  None -1802.899933  -0.133306 2024-07-17 2024-08-02  16 days  None                 1                0
3    57       181      227  203.529999  266.130005  None  None  3568.200348   0.307571 2024-10-16 2024-12-20  65 days  None                 1                0
4    52       247      261  289.739990  264.390015  None  None -1318.198730  -0.087492 2025-01-23 2025-02-12  20 days  None                 1                0
5    48       263      264  288.019989  278.799988  None  None  -442.560059  -0.032012 2025-02-14 2025-02-18   4 days  None                 0                0"
